Sigla;Código;Município;Renda per capita média (Atlas DH - Censo) (2010);Percentual da população de 25 anos ou mais com ensino médio completo (Atlas DH - Censo) (2010);
BA;2902401;Aurelino Leal;253,19;16,37;
BA;2902500;Baianópolis;235,05;13,04;
BA;2902609;Baixa Grande;243,98;14,28;
BA;2902658;Banzaê;228,54;12,76;
BA;2902708;Barra;183,03;15,22;
BA;2902807;Barra da Estiva;270,66;15,48;
BA;2902906;Barra do Choça;266,13;10,4;
BA;2903003;Barra do Mendes;292,41;18,39;
BA;2903102;Barra do Rocha;304,56;17,81;
BA;2903201;Barreiras;602,82;40,91;
BA;2903235;Barro Alto;247,32;15,94;
BA;2903276;Barrocas;284,41;19,1;
BA;2903300;Governador Lomanto Júnior;287,6;21,37;
BA;2903409;Belmonte;289,9;18,07;
BA;2903508;Belo Campo;263,52;11,62;
BA;2903607;Biritinga;209,37;13,06;
BA;2903706;Boa Nova;223,48;8,17;
BA;2903805;Boa Vista do Tupim;195,71;11,47;
BA;2903904;Bom Jesus da Lapa;367,62;27,74;
BA;2903953;Bom Jesus da Serra;223,19;10,8;
BA;2904001;Boninal;267,7;14,34;
BA;2904050;Bonito;249;14,52;
BA;2904100;Boquira;266,71;17,21;
BA;2904209;Botuporã;235,16;12,31;
BA;2904308;Brejões;261,14;15,31;
BA;2904407;Brejolândia;221,22;13,55;
BA;2904506;Brotas de Macaúbas;247,49;14,25;
BA;2904605;Brumado;403,22;25,98;
BA;2904704;Buerarema;343,23;19,03;
BA;2904753;Buritirama;184,53;14,65;
BA;2904803;Caatiba;293,78;11,82;
BA;2904852;Cabaceiras do Paraguaçu;209,45;15,64;
BA;2904902;Cachoeira;368,11;32,71;
BA;2905008;Caculé;382,15;21,98;
BA;2905107;Caém;223,48;14,64;
BA;2905156;Caetanos;224,38;7,84;
BA;2905206;Caetité;405,31;21,46;
BA;2905305;Cafarnaum;251,31;16,59;
BA;2905404;Cairu;334,19;23,45;
BA;2905503;Caldeirão Grande;211,26;12,25;
